,PipelineID,ApplicantID,JobID,StageID
15419,22502,42791,2881,10
15420,22503,42791,2873,10
15421,22504,43365,2814,10
15422,22505,43398,2859,11
15423,22506,43399,2800,6
15424,22507,11698,2877,10
15425,22508,11698,2878,10
15426,22509,11698,2814,10
15427,22510,39726,2831,9
15428,22511,43400,2878,10
15429,22512,43401,2881,10
15430,22513,43402,2873,10
15431,22514,43403,2844,10
15432,22515,43404,2882,10
15433,22516,43405,2884,11
15434,22517,43406,2814,10
15435,22518,39515,2878,10
15436,22519,43249,2885,6
15437,22520,43407,2878,11
15438,22521,43408,2759,10
15439,22522,43409,2768,6
15440,22523,43410,2877,10
15441,22524,43410,2814,10
15442,22525,43411,2814,10
15443,22526,43412,2851,10
15444,22527,43412,2757,10
15445,22528,18351,2870,10
15446,22529,43413,2880,11
15447,22530,43414,2878,10
15448,22531,43414,2877,10
15449,22532,43415,2814,10
15450,22533,43416,2773,10
15451,22534,43416,2759,10
15452,22535,43417,2844,10
15453,22536,43418,2882,10
15454,22537,35401,2878,10
15455,22538,35401,2814,10
15456,22539,35401,2877,7
15457,22540,43419,2851,10
15458,22541,43406,2877,10
15459,22542,43420,2878,10
15460,22543,43420,2881,10
15461,22544,43420,2877,10
15462,22545,43289,2878,10
15463,22546,43421,2877,10
15464,22547,43421,2878,10
15465,22548,43422,2878,10
15466,22549,11077,2877,7
15467,22550,11077,2878,10
15468,22551,43423,2877,10
15469,22552,43423,2878,10
15470,22553,43424,2800,9
15471,22554,43424,2882,10
15472,22555,43301,2877,7
15473,22556,43425,2873,10
15474,22557,43425,2775,10
15475,22558,43426,2877,7
15476,22559,43426,2878,10
15477,22560,43427,2885,10
15478,22561,43426,2814,10
15479,22562,43427,2883,10
15480,22563,43427,2873,10
15481,22564,43427,2871,10
15482,22565,43427,2870,10
15483,22566,43427,2844,10
15484,22567,43427,2857,9
15485,22568,43427,2842,10
15486,22569,43427,2701,10
15487,22570,43427,2775,10
15488,22571,43427,2704,10
15489,22572,43428,2768,6
15490,22573,43428,2768,10
15491,22574,43429,2877,10
15492,22575,43430,2844,10
15493,22576,43431,2882,10
15494,22577,43431,2881,10
15495,22578,43431,2873,10
15496,22579,43282,2877,10
15497,22580,43432,2851,10
15498,22581,43433,2881,10
15499,22582,43433,2885,10
15500,22583,43433,2879,10
15501,22584,42968,2882,10
15502,22585,43433,2873,10
15503,22586,43433,2874,10
15504,22587,42968,2859,9
15505,22588,43433,2856,10
15506,22589,43433,2800,9
15507,22590,43433,2842,10
15508,22591,43433,2806,10
15509,22592,43433,2704,9
15510,22593,43434,2885,10
15511,22594,43435,2851,10
15512,22595,43436,2881,10
15513,22596,43437,2882,10
15514,22597,43438,2877,10
15515,22598,43438,2857,9
15516,22599,43439,2885,10
15517,22600,43440,2753,11
15518,22601,43441,2873,10
15519,22602,43369,2886,6
15520,22603,43369,2882,10
15521,22604,43442,2886,9
15522,22605,39515,2877,10
15523,22606,43443,2886,10
15524,22607,43021,2873,10
15525,22608,25153,2844,10
15526,22609,25153,2873,10
15527,22610,43444,2814,10
15528,22611,28039,2814,10
15529,22612,43365,2878,10
15530,22613,43445,2886,10
15531,22614,43446,2886,10
15532,22615,43447,2831,10
15533,22616,43448,2831,9
15534,22617,43449,2844,10
15535,22618,43450,2881,10
15536,22619,43451,2844,10
15537,22620,43451,2844,10
15538,22621,43452,2844,10
15539,22622,43169,2886,10
15540,22623,43169,2882,10
15541,22624,43453,2844,10
15542,22625,43454,2878,10
15543,22626,43454,2877,10
15544,22627,43455,2878,10
15545,22628,43455,2877,10
15546,22629,36300,2886,10
15547,22630,36300,2882,10
15548,22631,43334,2877,10
15549,22632,43334,2878,10
15550,22633,43456,2877,6
15551,22634,43456,2878,10
15552,22635,43457,2877,10
15553,22636,43457,2878,10
15554,22637,43458,2831,10
15555,22638,43458,2886,10
15556,22639,43459,2851,10
15557,22640,43459,2851,10
15558,22641,43460,2885,6
15559,22642,43461,2878,10
15560,22643,43462,2859,9
15561,22644,43450,2831,11
15562,22645,43463,2886,10
15563,22646,43464,2844,10
15564,22647,43465,2879,10
15565,22648,43466,2887,9
15566,22649,43467,2887,10
15567,22650,43468,2887,10
15568,22651,43469,2887,10
15569,22652,43470,2844,6
15570,22653,43471,2887,10
15571,22654,43472,2887,10
15572,22655,43473,2874,10
15573,22656,43473,2874,10
15574,22657,43474,2874,10
15575,22658,43475,2887,10
15576,22659,43082,2757,11
15577,22660,43398,2888,11
15578,22661,43476,2873,10
15579,22662,43477,2871,6
15580,22663,43478,2887,10
15581,22664,43479,2887,10
15582,22665,43480,2844,11
15583,22666,43481,2877,10
15584,22667,43482,2887,10
15585,22668,43483,2844,6
15586,22669,43484,2877,10
15587,22670,43485,2879,10
15588,22671,43447,2785,10
15589,22672,43486,2811,10
15590,22673,43487,2814,10
15591,22674,43488,2844,6
15592,22675,43488,2814,10
15593,22676,43489,2811,10
15594,22677,43490,2811,10
15595,22678,43491,2785,10
15596,22679,43492,2880,10
15597,22680,43493,2873,10
15598,22681,43494,2877,10
15599,22682,43494,2878,10
15600,22683,36217,2888,11
15601,22684,43495,2885,11
15602,22685,43496,2889,10
15603,22686,43497,2759,10
15604,22687,40099,2889,6
15605,22688,40099,2886,10
15606,22689,43498,2831,9
15607,22690,43498,2851,10
15608,22691,43498,2851,10
15609,22692,43499,2885,6
15610,22693,43260,2889,11
15611,22694,43500,2889,10
15612,22695,43501,2885,10
15613,22696,43501,2870,10
15614,22697,43502,2885,7
15615,22698,43503,2811,6
15616,22699,43504,2885,7
15617,22700,43345,2870,11
15618,22701,43505,2800,7
15619,22702,43169,2879,10
15620,22703,43318,2889,10
15621,22704,43506,2844,7
15622,22705,43507,2759,10
15623,22706,43508,2873,10
15624,22707,43508,2844,7
15625,22708,43508,2775,10
15626,22709,43511,2882,11
15627,22710,43373,2886,9
15628,22711,43512,2844,6
15629,22712,43513,2811,6
15630,22713,43514,2851,10
15631,22714,43515,2847,10
15632,22715,43516,2887,10
15633,22716,43515,2880,10
15634,22717,43517,2879,10
15635,22718,43518,2886,9
15636,22719,43518,2873,10
15637,22720,43518,2856,7
15638,22721,43518,2775,10
15639,22722,43519,2851,10
15640,22723,43520,2759,10
15641,22724,43521,2887,10
15642,22725,43522,2814,11
15643,22726,43523,2811,6
